"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Bodo_seaway","Bodo_geodesic","Crete_seaway","Crete_geodesic","Gdynia_seaway","Gdynia_geodesic","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic","Roscoff_seaway","Roscoff_geodesic","SWC_seaway","SWC_geodesic","TZS_seaway","TZS_geodesic","Toralla_seaway","Toralla_geodesic"
59.878366,10.621482,2024,1,"Norway","HUMAN_OBSERVATION",59.85,10.55,5.09,Inf,1054,Inf,849,Inf,2922,Inf,775,Inf,2054,Inf,1607,Inf,113,Inf,340,Inf,1718,Inf,1718,Inf,1551,Inf,251,Inf,711,Inf,2364
55.16778,11.677057,2024,2,"Denmark","HUMAN_OBSERVATION",NA,NA,NA,1172,709,1787,1355,6359,2434,492,455,2396,1688,6591,1082,439,414,428,253,6558,1193,6558,1193,1731,1289,310,280,944,865,2611,2068
55.729975,21.082624,2024,2,"Lithuania","HUMAN_OBSERVATION",NA,NA,NA,1699,1280,2314,1327,6885,2287,212,211,2922,2203,7117,1252,935,695,954,755,7084,1399,7084,1399,2258,1868,796,612,483,476,3137,2619
55.762617,21.079763,2024,2,"Lithuania","HUMAN_OBSERVATION",NA,NA,NA,1699,1281,2314,1323,6885,2291,212,213,2922,2205,7117,1256,935,693,954,754,7084,1402,7084,1402,2258,1868,796,610,483,472,3137,2621
55.207582,11.713752,2024,2,"Denmark","HUMAN_OBSERVATION",55.15,11.75,6.81,1179,712,1794,1357,6366,2430,490,450,2402,1690,6597,1079,445,417,434,257,6564,1191,6564,1191,1738,1292,316,282,942,863,2617,2071
60.091807,22.341812,2024,2,"Finland","HUMAN_OBSERVATION",60.15,22.35,6.49,1984,1544,2599,877,7171,2765,675,673,3207,2531,7402,1729,1220,652,1239,853,7369,1871,7369,1871,2543,2106,1081,670,66,61,3422,2902
60.0918,22.341867,2024,2,"Finland","HUMAN_OBSERVATION",60.15,22.35,6.49,1984,1544,2599,877,7171,2765,675,673,3207,2531,7402,1729,1220,652,1239,853,7369,1871,7369,1871,2543,2106,1081,670,66,61,3422,2902
60.091777,22.341996,2024,2,"Finland","HUMAN_OBSERVATION",60.15,22.35,6.5,1984,1544,2599,877,7171,2765,675,673,3207,2531,7402,1729,1220,652,1239,853,7369,1871,7369,1871,2543,2106,1081,670,66,61,3422,2902
60.091763,22.342107,2024,2,"Finland","HUMAN_OBSERVATION",60.15,22.35,6.5,1984,1544,2599,877,7171,2765,675,673,3207,2531,7402,1729,1220,652,1239,853,7369,1871,7369,1871,2543,2106,1081,670,66,61,3422,2902
60.091741,22.342254,2024,2,"Finland","HUMAN_OBSERVATION",60.15,22.35,6.5,1984,1544,2599,877,7171,2765,675,673,3207,2531,7402,1729,1220,652,1239,853,7369,1871,7369,1871,2543,2106,1081,670,66,61,3422,2902
51.3175,3.12211,2024,2,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,4,1963,1885,5233,2499,1576,1099,1269,1000,5464,1005,983,982,760,732,5431,1028,5431,1028,605,584,956,900,2006,1574,1484,1356
55.52488,12.896,2024,2,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1147,796,1762,1310,6334,2431,430,387,2370,1772,6565,1114,383,388,402,283,6532,1232,6532,1232,1706,1376,244,251,859,781,2585,2154
57.8531,11.70421,2024,2,"Sweden","HUMAN_OBSERVATION",57.85,11.65,3.23,950,907,1547,1059,6137,2695,696,576,2173,1910,6368,1378,119,119,205,188,6335,1492,6335,1492,1509,1449,23,19,1126,704,2388,2253
56.65223,16.46595,2024,2,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1459,1051,2074,1185,6645,2457,283,281,2682,2022,6877,1255,695,404,714,454,6844,1388,6844,1388,2018,1630,556,309,547,533,2897,2409
55.60162,12.99513,2024,2,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1140,806,1755,1301,6327,2435,442,384,2364,1782,6559,1122,375,382,395,284,6526,1241,6526,1241,1699,1385,236,244,872,771,2579,2164
56.72517,16.50993,2024,2,"Sweden","HUMAN_OBSERVATION",56.75,16.45,4.59,1469,1056,2084,1174,6656,2468,294,291,2693,2028,6887,1265,706,396,724,452,6855,1398,6855,1398,2028,1634,566,303,537,526,2907,2414
58.120967,8.065236,2024,2,"Norway","HUMAN_OBSERVATION",NA,NA,NA,823,817,1338,1070,5995,2830,870,771,2032,1816,6227,1451,220,196,147,148,6194,1549,6194,1549,1368,1313,241,223,1300,892,2247,2125
59.550872,24.784022,2024,3,"Estonia","HUMAN_OBSERVATION",NA,NA,NA,2067,1634,2682,994,7253,2691,702,679,3290,2608,7485,1732,1303,784,1322,967,7452,1878,7452,1878,2626,2206,1164,785,98,92,3505,2993
57.700821,11.618455,2024,3,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,946,893,1551,1075,6133,2681,686,568,2169,1896,6364,1362,127,134,201,178,6331,1475,6331,1475,1505,1437,13,7,1115,713,2384,2241
57.696329,11.612398,2024,3,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,950,893,1556,1076,6137,2681,676,568,2174,1896,6369,1361,137,135,205,178,6336,1475,6336,1475,1509,1437,6,7,1105,713,2389,2240
55.691153,12.599448,2024,3,"Denmark","HUMAN_OBSERVATION",NA,NA,NA,1134,790,1749,1293,6321,2456,450,410,2358,1771,6552,1134,371,366,389,257,6519,1250,6519,1250,1693,1367,232,228,880,783,2572,2149
62.52323,21.113467,2024,3,"Finland","HUMAN_OBSERVATION",62.55,21.05,4.42,2169,1645,2784,605,7356,3039,919,913,3393,2647,7588,1955,1406,679,1425,920,7555,2091,7555,2091,2728,2177,1266,749,358,324,3608,2986
54.611855,18.513094,2024,3,"Poland","HUMAN_OBSERVATION",NA,NA,NA,1553,1091,2168,1423,6740,2202,23,20,2777,2000,6972,1071,790,656,808,646,6939,1214,6939,1214,2112,1679,650,542,647,648,2992,2420
54.63211,18.498035,2024,3,"Poland","HUMAN_OBSERVATION",54.65,18.55,3.9,1553,1094,2168,1419,6740,2205,23,23,2777,2004,6972,1076,790,654,808,646,6939,1219,6939,1219,2112,1682,650,541,647,644,2992,2424
60.108764,19.88419,2024,3,"Åland Islands","HUMAN_OBSERVATION",60.05,19.85,6.81,1888,1421,2503,842,7075,2773,633,628,3111,2415,7306,1670,1124,513,1143,720,7273,1807,7273,1807,2447,1977,985,537,208,191,3326,2777
59.968237,24.395092,2024,3,"Finland","HUMAN_OBSERVATION",NA,NA,NA,2062,1634,2677,942,7249,2738,711,705,3285,2614,7480,1761,1298,763,1317,956,7447,1906,7447,1906,2621,2202,1159,773,66,66,3500,2993
60.107868,24.714407,2024,3,"Finland","HUMAN_OBSERVATION",60.05,24.75,6.74,2089,1656,2704,943,7276,2747,734,724,3312,2636,7507,1779,1325,783,1344,978,7474,1924,7474,1924,2648,2224,1186,795,93,87,3527,3015
51.29468,3.20722,2024,3,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,7.33,0,0,1963,1881,5233,2499,1576,1096,1269,1004,5464,1006,983,978,760,728,5431,1029,5431,1029,605,588,956,896,2006,1570,1484,1360
