"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","GulfofPiran_seaway","GulfofPiran_geodesic"
41.85132,8.75847,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,562
41.85101,8.76166,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,562
41.83743,8.74665,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
41.85043,8.75475,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,563
41.85132,8.75847,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,562
41.8404,8.74248,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
42.43311,3.17523,2023,6,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.42,2318,894
42.43311,3.17523,2023,6,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.42,2318,894
41.8383,8.74246,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
37.174725,-1.82176,2023,7,"Spain","HUMAN_OBSERVATION",37.15,-1.74999999999999,6.94,2695,1579
41.8404,8.74248,2023,7,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
41.8383,8.74246,2023,7,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
41.8383,8.74246,2023,7,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
41.8404,8.74248,2023,7,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
41.85043,8.75475,2023,7,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,563
38.98167,1.58444,2023,7,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2382,1225
41.37682,2.191269,2023,7,"Spain","HUMAN_OBSERVATION",41.35,2.25000000000001,5.74,2372,1025
41.375953,2.191198,2023,7,"Spain","HUMAN_OBSERVATION",41.35,2.25000000000001,5.7,2372,1025
38.534236,-28.531592,2023,8,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,5180,3529
39.869692,4.131481,2023,8,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2182,995
36.725983,-3.719178,2023,9,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,8.89,2890,1751
36.725983,-3.719178,2023,9,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,8.89,2890,1751
36.725983,-3.719178,2023,9,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,8.89,2890,1751
36.725983,-3.719178,2023,9,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,8.89,2890,1751
36.734651,-3.737803,2023,9,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,9.49,2890,1751
36.734651,-3.737803,2023,9,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,9.49,2890,1751
39.282615,20.403875,2023,9,"Greece","HUMAN_OBSERVATION",NA,NA,NA,926,892
36.526607,-6.319783,2023,9,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3176,1940
43.33861,5.2593,2023,9,"France","HUMAN_OBSERVATION",43.25,5.25000000000001,9.89,2180,709
41.85101,8.76166,2022,1,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,562
41.85101,8.76166,2022,1,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,562
41.85008,8.75874,2022,1,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,562
41.85101,8.76166,2022,1,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,562
41.84733,8.76183,2022,2,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,562
41.88275,8.78005,2022,2,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,558
41.84644,8.76983,2022,2,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,562
43.02875,6.24126,2022,2,"France","HUMAN_OBSERVATION",NA,NA,NA,2102,647
43.55178,7.14549,2022,4,"France","HUMAN_OBSERVATION",NA,NA,NA,2086,555
41.8383,8.74246,2022,4,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
43.54808,7.1401,2022,4,"France","HUMAN_OBSERVATION",NA,NA,NA,2086,556
43.40698,6.84145,2022,4,"France","HUMAN_OBSERVATION",43.35,6.85000000000001,6.38,2089,586
41.8383,8.74246,2022,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1862,564
42.44133,3.17672,2022,5,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.1,2318,894
