"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Galway_seaway","Galway_geodesic","Plymouth_seaway","Plymouth_geodesic","Roscoff_seaway","Roscoff_geodesic"
52.9639,1.069929,2019,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",52.95,1.15000000000001,5.59,1346,730,672,466,708,593
52.96168,1.085784,2019,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",52.95,1.15000000000001,4.5,1346,730,672,466,708,593
52.94627,1.218227,2019,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,735,665,469,701,595
52.9476,1.219271,2019,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,735,665,470,701,595
52.94918,1.206723,2019,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,734,665,469,701,595
49.1815,-2.111,2019,10,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,849,699,198,198,147,145
51.646,4.105,2019,10,"Netherlands","HUMAN_OBSERVATION",51.55,4.05000000000001,11.34,1320,957,646,591,682,654
49.48892,0.11775,2018,1,"France","HUMAN_OBSERVATION",NA,NA,NA,1002,804,342,322,346,310
47.80708,-3.71284,2018,6,"France","HUMAN_OBSERVATION",47.75,-3.74999999999999,6.94,837,745,339,293,199,109
47.80663,-3.71601,2018,6,"France","HUMAN_OBSERVATION",47.75,-3.74999999999999,6.8,837,745,339,293,199,109
52.96551,1.055475,2018,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.41,1357,722,683,467,719,597
52.96566,1.055321,2018,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.4,1357,722,683,467,719,597
52.95806,1.098826,2018,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",52.95,1.15000000000001,3.55,1346,730,672,466,708,593
52.9482,1.167391,2018,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,731,672,467,708,593
52.91903,1.35454,2018,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1333,744,659,475,694,599
52.94959,1.167709,2018,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,731,672,467,708,593
52.96551,1.055475,2018,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.41,1357,722,683,467,719,597
52.94959,1.167709,2018,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,731,672,467,708,593
52.95713,1.101306,2018,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,727,672,464,708,591
52.94997,1.144663,2018,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,730,672,466,708,592
52.9482,1.167391,2018,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,731,672,467,708,593
52.91857,1.352949,2018,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1333,744,659,475,694,599
50.313323,-4.046456,2018,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.25,-4.04999999999999,7.05,693,516,13,15,168,171
52.93975,1.276997,2018,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,739,665,472,701,597
52.94844,1.216422,2018,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,735,665,470,701,595
52.96556,1.054436,2018,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.4,1357,722,683,467,719,597
52.95219,1.137646,2018,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,729,672,465,708,592
52.96675,1.054483,2018,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.27,1357,722,683,467,719,597
52.9657,1.054564,2018,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.39,1357,722,683,467,719,597
52.94632,1.219072,2018,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,735,665,470,701,595
52.95219,1.137646,2018,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,729,672,465,708,592
52.92343,1.34403,2018,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1333,743,659,475,694,599
52.92343,1.34403,2018,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1333,743,659,475,694,599
54.49043,-5.6426,2018,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.65,527,306,609,476,682,659
52.95219,1.137646,2018,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,729,672,465,708,592
52.95704,1.101448,2018,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,727,672,464,708,591
51.52,4.004,2018,8,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1320,954,646,587,682,649
52.95029,1.145937,2018,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,730,672,466,708,593
52.94425,1.25507,2018,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,737,665,471,701,597
50.239156,-5.39611,2018,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,576,450,135,90,206,198
52.96706,1.055733,2018,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.24,1357,722,683,467,719,597
52.94425,1.25507,2018,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,737,665,471,701,597
51.628707,3.909945,2018,10,"Netherlands","HUMAN_OBSERVATION",51.65,3.85000000000001,4.77,1303,940,629,579,664,646
52.96682,1.053713,2018,10,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.26,1357,722,683,467,719,597
54.068306,-6.191826,2018,10,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,626,252,558,435,631,615
52.94973,1.146016,2018,10,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,730,672,466,708,592
51.6,4.05,2018,11,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1320,955,646,592,682,656
52.94878,1.210722,2018,11,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,734,665,469,701,595
51.63,3.69,2018,12,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1289,930,615,568,651,635
47.6714,-3.2083,2017,4,"France","HUMAN_OBSERVATION",NA,NA,NA,878,774,381,308,240,129
