"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Gdynia_seaway","Gdynia_geodesic","TZS_seaway","TZS_geodesic"
46.480599,30.341626,2024,3,"Ukraine","HUMAN_OBSERVATION",46.25,30.65,34.93,Inf,1246,Inf,1590
50.385388,14.457233,2024,3,"Czechia","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
52,6.1,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
52.25,4.55,2024,3,"Netherlands","HUMAN_OBSERVATION",52.35,4.45000000000001,13.05,1440,971,1869,1429
51.95,5.95,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
51.95,5.95,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
52.35,6.6,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
52.45,4.55,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1427,961,1857,1416
52.4,4.9,2024,3,"Netherlands","HUMAN_OBSERVATION",52.45,4.55000000000001,24.4,1427,961,1857,1416
51.85,4.2,2024,3,"Netherlands","HUMAN_OBSERVATION",51.85,4.05000000000001,10.31,1500,1017,1930,1487
50.9,5.75,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
52.3,4.95,2024,3,"Netherlands","HUMAN_OBSERVATION",52.45,4.55000000000001,31.9,1427,961,1857,1416
51.221035,6.778777,2024,3,"Germany","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
52.35,4.95,2024,3,"Netherlands","HUMAN_OBSERVATION",52.45,4.55000000000001,29.36,1427,961,1857,1416
51.85,6.45,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
51.85,6.4,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
50.9,5.75,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
50.9,5.75,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
52.15,4.55,2024,3,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,17.61,1452,981,1881,1441
50.9,5.75,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
52,6.1,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
52.35,4.9,2024,3,"Netherlands","HUMAN_OBSERVATION",52.45,4.55000000000001,26.25,1427,961,1857,1416
